INSEE_COM,Fibre_it,annee
50362,0,2021
62313,1,2021
62312,1,2021
50361,0,2021
62311,1,2021
50360,0,2021
01393,0,2021
62310,1,2021
01392,0,2021
01391,0,2021
01390,0,2021
49378,0,2021
49377,0,2021
49374,0,2021
50359,0,2021
49373,0,2021
50357,1,2021
49371,1,2021
50356,1,2021
01389,0,2021
49370,0,2021
01388,0,2021
25398,1,2021
01387,1,2021
25397,1,2021
50353,0,2021
01386,0,2021
50352,0,2021
01385,0,2021
25395,1,2021
50351,0,2021
01384,0,2021
62389,1,2021
25394,0,2021
50350,0,2021
01383,0,2021
62388,1,2021
25393,1,2021
01382,1,2021
62387,1,2021
25392,1,2021
01381,0,2021
62386,1,2021
25391,1,2021
01380,0,2021
62385,1,2021
25390,1,2021
62384,1,2021
62383,1,2021
62382,1,2021
62381,1,2021
62380,1,2021
49369,0,2021
49368,0,2021
49367,0,2021
49364,0,2021
50349,0,2021
49362,0,2021
50347,0,2021
49361,0,2021
25389,0,2021
50345,0,2021
25388,1,2021
25387,1,2021
25386,1,2021
50342,0,2021
25385,1,2021
50341,1,2021
62379,1,2021
25384,1,2021
50340,0,2021
62378,1,2021
25383,1,2021
62377,1,2021
25382,1,2021
62376,1,2021
25381,1,2021
62375,1,2021
25380,0,2021
62374,1,2021
62373,1,2021
62372,1,2021
62371,1,2021
62370,1,2021
49359,1,2021
49358,1,2021
49355,1,2021
49353,1,2021
50338,1,2021
49352,1,2021
50336,1,2021
50335,0,2021
50334,0,2021
50332,0,2021
62369,1,2021
62368,1,2021
62367,1,2021
62366,1,2021
62365,1,2021
62364,1,2021
62363,1,2021
62362,1,2021
62361,1,2021
62360,1,2021
49347,0,2021
49345,0,2021
49344,1,2021
49343,1,2021
49341,0,2021
62359,1,2021
62358,1,2021
62357,1,2021
62356,1,2021
62355,1,2021
62354,1,2021
62353,1,2021
62352,1,2021
62351,1,2021
62350,1,2021
74289,0,2021
74288,0,2021
74287,0,2021
74286,0,2021
74285,0,2021
74284,0,2021
74283,0,2021
74282,0,2021
74281,0,2021
50399,0,2021
74280,0,2021
50398,0,2021
50397,1,2021
50395,0,2021
50394,1,2021
50393,0,2021
50391,1,2021
50390,0,2021
74279,0,2021
74278,0,2021
74276,0,2021
74275,0,2021
74273,0,2021
74272,0,2021
74271,0,2021
50389,0,2021
50388,0,2021
50387,0,2021
86269,0,2021
50384,0,2021
86268,0,2021
50382,0,2021
62299,1,2021
86266,0,2021
62298,1,2021
86265,0,2021
62297,1,2021
86264,0,2021
62296,1,2021
86263,0,2021
62295,1,2021
86262,0,2021
86261,0,2021
62293,1,2021
86260,0,2021
62292,1,2021
62291,1,2021
62290,1,2021
74269,0,2021
74267,0,2021
74266,0,2021
74265,0,2021
74264,0,2021
74263,0,2021
74262,0,2021
74261,0,2021
50379,0,2021
74260,0,2021
50378,0,2021
50376,0,2021
50374,0,2021
86258,0,2021
50373,0,2021
86257,0,2021
50372,0,2021
62289,1,2021
50371,1,2021
86256,0,2021
62288,1,2021
86255,0,2021
50370,0,2021
86254,0,2021
62286,1,2021
86253,0,2021
62285,1,2021
86252,0,2021
62284,1,2021
62283,1,2021
86250,0,2021
62282,1,2021
62281,1,2021
62280,1,2021
74259,0,2021
74258,0,2021
74257,0,2021
74256,0,2021
74255,0,2021
74254,0,2021
74253,0,2021
74252,0,2021
74250,0,2021
49381,1,2021
86249,0,2021
86248,0,2021
86247,0,2021
62279,1,2021
86246,0,2021
62278,1,2021
86245,1,2021
62277,1,2021
86244,0,2021
62276,1,2021
62275,1,2021
86242,0,2021
62274,1,2021
86241,0,2021
62273,1,2021
62272,1,2021
62271,1,2021
62270,1,2021
86239,0,2021
86237,0,2021
86236,0,2021
86235,0,2021
86234,0,2021
86233,0,2021
86231,0,2021
86230,0,2021
50299,0,2021
50298,1,2021
50297,0,2021
50296,0,2021
50295,0,2021
50294,0,2021
86299,0,2021
86298,1,2021
50292,0,2021
86297,1,2021
50291,1,2021
86296,0,2021
50290,0,2021
86295,0,2021
86294,0,2021
86293,0,2021
86292,0,2021
86291,0,2021
86290,0,2021
74299,0,2021
74298,1,2021
74297,0,2021
74296,0,2021
74295,0,2021
74294,0,2021
74293,0,2021
74292,0,2021
74291,0,2021
74290,0,2021
86289,0,2021
86288,0,2021
86287,0,2021
86286,0,2021
86285,0,2021
86284,0,2021
86281,0,2021
86280,0,2021
86279,0,2021
86276,0,2021
86275,0,2021
86274,0,2021
86273,0,2021
86272,1,2021
86271,0,2021
86270,0,2021
01339,1,2021
01338,0,2021
01337,1,2021
01336,1,2021
01335,1,2021
01334,0,2021
01333,0,2021
01332,0,2021
01331,0,2021
01330,0,2021
25219,0,2021
01329,0,2021
25218,1,2021
01328,0,2021
25217,1,2021
25216,0,2021
25215,1,2021
01325,1,2021
25214,0,2021
25213,1,2021
01323,1,2021
25212,1,2021
01322,0,2021
25211,0,2021
01321,1,2021
25210,0,2021
01320,0,2021
25209,1,2021
01319,1,2021
25208,0,2021
01318,1,2021
25207,0,2021
01317,0,2021
25204,0,2021
01314,1,2021
25203,1,2021
01313,0,2021
25202,1,2021
25201,1,2021
01311,0,2021
25200,1,2021
01310,1,2021
01309,1,2021
01308,0,2021
01307,0,2021
01306,0,2021
01305,0,2021
01304,0,2021
01303,0,2021
01302,1,2021
01301,0,2021
13216,0,2021
13215,0,2021
13214,0,2021
13213,0,2021
13212,1,2021
13211,0,2021
13210,1,2021
01259,0,2021
01258,1,2021
01257,0,2021
01255,1,2021
01254,1,2021
01252,1,2021
13209,1,2021
01250,0,2021
13208,1,2021
13207,0,2021
13206,0,2021
13205,0,2021
13204,0,2021
13203,0,2021
13202,0,2021
13201,0,2021
01249,0,2021
25259,1,2021
01248,0,2021
25258,1,2021
01247,0,2021
25257,1,2021
01246,0,2021
25256,1,2021
01245,0,2021
25255,1,2021
01244,0,2021
25254,0,2021
37238,0,2021
01243,0,2021
25253,1,2021
37237,0,2021
01242,0,2021
25252,1,2021
37236,0,2021
01241,1,2021
25251,1,2021
01240,0,2021
37234,0,2021
37233,1,2021
37232,0,2021
37231,0,2021
37230,0,2021
50209,0,2021
50208,1,2021
50207,0,2021
01239,0,2021
25249,1,2021
50205,0,2021
01238,0,2021
25248,1,2021
01237,1,2021
25247,1,2021
01236,0,2021
25246,1,2021
01235,0,2021
25245,0,2021
37229,0,2021
01234,1,2021
25244,1,2021
37228,0,2021
50200,0,2021
01233,1,2021
25243,0,2021
01232,0,2021
37226,0,2021
01231,0,2021
25242,1,2021
25241,1,2021
37225,0,2021
01230,0,2021
25240,0,2021
37224,1,2021
37223,0,2021
37222,0,2021
37221,0,2021
37220,0,2021
74209,0,2021
74208,0,2021
49219,0,2021
49218,0,2021
74206,0,2021
49217,0,2021
74205,0,2021
49216,0,2021
49215,0,2021
74203,0,2021
49214,1,2021
74202,1,2021
74201,0,2021
74200,1,2021
49211,0,2021
01229,0,2021
25239,0,2021
01228,1,2021
25238,1,2021
01227,1,2021
25237,1,2021
25236,1,2021
01225,0,2021
37219,0,2021
01224,0,2021
25235,0,2021
25234,1,2021
37218,0,2021
62229,1,2021
62228,1,2021
25233,0,2021
37217,0,2021
62227,1,2021
25232,1,2021
37216,0,2021
25231,1,2021
62225,1,2021
37214,1,2021
25230,1,2021
62224,1,2021
37213,0,2021
62223,1,2021
37212,0,2021
37211,0,2021
62222,1,2021
62221,1,2021
37210,1,2021
62220,1,2021
49209,1,2021
49205,1,2021
49201,0,2021
49200,0,2021
25229,1,2021
25228,1,2021
25227,0,2021
25226,1,2021
25225,0,2021
62219,1,2021
25224,0,2021
37208,1,2021
62218,1,2021
25223,1,2021
37207,0,2021
62217,1,2021
25222,0,2021
01299,1,2021
37206,0,2021
62216,1,2021
25221,1,2021
37205,0,2021
01298,0,2021
62215,1,2021
25220,1,2021
37204,1,2021
01297,1,2021
62214,1,2021
37203,0,2021
01296,1,2021
62213,1,2021
37202,0,2021
01295,1,2021
62212,1,2021
37201,0,2021
01294,0,2021
62211,1,2021
37200,0,2021
01293,0,2021
01291,0,2021
01290,0,2021
37280,0,2021
62209,1,2021
62208,1,2021
62207,1,2021
01289,0,2021
62206,1,2021
25299,1,2021
01288,0,2021
62205,1,2021
25298,1,2021
62204,1,2021
01286,0,2021
25297,0,2021
62203,1,2021
25296,1,2021
01285,0,2021
62202,1,2021
25295,1,2021
37279,0,2021
01284,1,2021
62201,1,2021
37278,0,2021
01283,1,2021
62200,1,2021
37277,0,2021
01282,0,2021
25293,1,2021
37276,0,2021
01281,0,2021
37275,0,2021
01280,0,2021
25290,1,2021
37274,1,2021
37273,1,2021
37272,0,2021
37271,0,2021
37270,0,2021
50247,0,2021
50246,0,2021
01279,0,2021
25289,0,2021
01277,1,2021
25288,0,2021
25287,1,2021
50243,0,2021
01276,1,2021
25286,1,2021
01275,0,2021
25285,1,2021
37269,0,2021
50241,0,2021
01274,1,2021
25284,1,2021
37268,0,2021
50240,0,2021
01273,0,2021
25283,1,2021
37267,1,2021
01272,0,2021
25282,1,2021
37266,1,2021
25281,0,2021
37265,0,2021
25280,1,2021
37264,0,2021
37263,0,2021
37262,0,2021
37261,1,2021
37260,0,2021
74249,0,2021
49259,0,2021
49257,0,2021
74244,0,2021
74243,0,2021
74242,0,2021
50239,0,2021
49253,0,2021
74241,0,2021
50238,0,2021
74240,0,2021
50237,0,2021
50236,0,2021
01269,0,2021
25279,1,2021
50235,0,2021
01268,0,2021
25278,1,2021
50234,0,2021
01267,0,2021
25277,1,2021
50233,0,2021
01266,0,2021
25276,1,2021
50232,0,2021
01265,0,2021
25275,1,2021
37259,0,2021
50231,0,2021
01264,0,2021
62269,1,2021
25274,0,2021
37258,0,2021
50230,0,2021
01263,0,2021
62268,1,2021
25273,1,2021
37257,0,2021
01262,0,2021
62267,1,2021
37256,1,2021
01261,0,2021
62266,1,2021
25271,1,2021
37255,1,2021
01260,1,2021
62265,1,2021
25270,1,2021
37254,0,2021
62264,1,2021
37253,0,2021
62263,1,2021
37252,0,2021
62262,1,2021
37251,0,2021
62261,1,2021
37250,0,2021
62260,1,2021
74239,0,2021
