INSEE_COM,Fibre_it,annee
69389,1,2019
75119,1,2019
13211,0,2019
75115,1,2019
75109,1,2019
13215,0,2019
75101,1,2019
13204,0,2019
13206,0,2019
69381,1,2019
13205,0,2019
13213,0,2019
69386,1,2019
75114,1,2019
13216,0,2019
69383,1,2019
69382,1,2019
69387,1,2019
13214,0,2019
75111,1,2019
75117,1,2019
13210,1,2019
75120,1,2019
75104,1,2019
13207,0,2019
75102,1,2019
75106,1,2019
13202,0,2019
75105,1,2019
75116,1,2019
75112,1,2019
13208,1,2019
13212,0,2019
69388,1,2019
13201,0,2019
75107,1,2019
75108,1,2019
75110,1,2019
13203,0,2019
69385,1,2019
69384,1,2019
13209,1,2019
75103,1,2019
75113,1,2019
75118,1,2019
50353,0,2019
29083,0,2019
65348,0,2019
74133,0,2019
61096,0,2019
67139,1,2019
30100,0,2019
53080,0,2019
84051,1,2019
21201,1,2019
59422,0,2019
10241,0,2019
03296,0,2019
51249,0,2019
66159,0,2019
59066,0,2019
38217,0,2019
77057,0,2019
58038,0,2019
33142,0,2019
67069,1,2019
72077,0,2019
29172,0,2019
17126,0,2019
33297,0,2019
39329,0,2019
62730,0,2019
59179,1,2019
32166,0,2019
89263,0,2019
88424,0,2019
54028,0,2019
71553,0,2019
57469,1,2019
47319,0,2019
27311,0,2019
59038,0,2019
57474,0,2019
62447,0,2019
25175,0,2019
60111,1,2019
60591,1,2019
59114,0,2019
07201,0,2019
65026,0,2019
92040,1,2019
24297,0,2019
62125,0,2019
68249,0,2019
70020,0,2019
25524,0,2019
60588,1,2019
11427,0,2019
79013,0,2019
26249,0,2019
01262,0,2019
89318,0,2019
50066,0,2019
69042,0,2019
59344,1,2019
71499,0,2019
34072,1,2019
39093,0,2019
68224,0,2019
31074,0,2019
63348,0,2019
35234,0,2019
02042,1,2019
09067,0,2019
2A011,0,2019
62070,1,2019
70154,0,2019
02647,0,2019
15235,1,2019
19046,0,2019
04171,0,2019
54114,0,2019
41205,0,2019
39569,0,2019
28251,0,2019
62613,1,2019
58075,0,2019
33219,0,2019
32294,0,2019
33093,0,2019
76360,0,2019
40192,1,2019
54227,0,2019
51378,0,2019
06120,0,2019
29162,0,2019
55531,1,2019
42301,1,2019
58169,0,2019
65216,0,2019
16042,0,2019
01073,0,2019
42126,1,2019
53103,0,2019
72004,1,2019
88275,0,2019
72327,1,2019
14605,0,2019
26222,0,2019
33382,0,2019
11404,0,2019
31382,0,2019
27364,0,2019
68072,0,2019
57531,1,2019
68138,0,2019
24434,0,2019
52371,0,2019
70430,0,2019
26009,0,2019
91235,1,2019
02375,0,2019
66221,0,2019
27500,0,2019
74158,0,2019
69026,0,2019
41206,0,2019
30255,0,2019
60226,1,2019
61066,0,2019
61142,0,2019
33074,0,2019
63431,0,2019
57119,0,2019
51153,1,2019
67221,1,2019
17021,0,2019
24205,0,2019
70577,0,2019
10093,0,2019
70128,0,2019
57349,0,2019
02342,1,2019
76481,0,2019
73008,0,2019
10128,0,2019
26184,0,2019
49362,0,2019
40068,0,2019
14005,0,2019
60132,1,2019
57136,0,2019
67182,0,2019
2B184,0,2019
17416,0,2019
43077,0,2019
59612,1,2019
