"INSEE_COM","Fibre_it","annee"
"01049",0,2020
"01049",0,2021
"01049",0,2022
"01049",0,2023
"01049",1,2024
"01050",0,2018
"01050",0,2019
"01050",0,2020
"01050",0,2021
"01050",0,2022
"01050",0,2023
"01050",1,2024
"01051",0,2018
"01051",0,2019
"01051",0,2020
"01051",0,2021
"01051",0,2022
"01051",1,2023
"01051",1,2024
"01052",0,2018
"01052",0,2019
"01052",0,2020
"01052",0,2021
"01052",0,2022
"01052",0,2023
"01052",0,2024
"01053",1,2018
"01053",1,2019
"01053",1,2020
"01053",1,2021
"01053",1,2022
"01053",1,2023
"01053",1,2024
"01054",1,2018
"01054",1,2019
"01054",1,2020
"01054",1,2021
"01054",1,2022
"01054",1,2023
"01054",1,2024
"01056",1,2018
"01056",1,2019
"01056",1,2020
"01056",1,2021
"01056",1,2022
"01056",1,2023
"01056",1,2024
"01057",1,2018
"01057",1,2019
"01057",1,2020
"01057",1,2021
"01057",1,2022
"01057",1,2023
"01057",1,2024
"01058",0,2018
"01058",1,2019
"01058",1,2020
"01058",1,2021
"01058",1,2022
"01058",1,2023
"01058",1,2024
"01059",1,2018
"01059",1,2019
"01059",1,2020
"01060",0,2018
"01060",0,2019
"01060",0,2020
"01060",0,2021
"01060",0,2022
"01060",0,2023
"01060",1,2024
"01061",0,2018
"01061",0,2019
"01061",0,2020
"01061",0,2021
"01061",0,2022
"01061",1,2023
"01061",1,2024
"01062",0,2018
"01062",0,2019
"01062",0,2020
"01062",0,2021
"01062",0,2022
"01062",0,2023
"01062",1,2024
"01063",0,2018
"01063",0,2019
"01063",0,2020
"01063",0,2021
"01063",0,2022
"01063",0,2023
"01063",0,2024
"01064",1,2018
"01064",1,2019
"01064",1,2020
"01064",1,2021
"01064",1,2022
"01064",1,2023
"01064",1,2024
"01065",0,2018
"01065",0,2019
"01065",1,2020
"01065",1,2021
"01065",1,2022
"01065",1,2023
"01065",1,2024
"01066",0,2018
"01066",0,2019
"01066",0,2020
"01066",0,2021
"01066",0,2022
"01066",1,2023
"01066",1,2024
"01067",1,2018
"01067",1,2019
"01067",1,2020
"01067",1,2021
"01067",1,2022
"01067",1,2023
"01067",1,2024
"01068",0,2018
"01068",0,2019
"01068",0,2020
"01068",0,2021
"01068",0,2022
