INSEE_COM,LIBGEO,DENS,LIBDENS,PMUN21,P1,P2,P3,P4,P5,P6,P7,zone_type
38379,Saint-Clair-sur-Galaure,6,Rural à habitat dispersé,261,0.0,0.0,0.0,0.0,0.0,71.84,28.16,Rural
38380,Saint-Didier-de-Bizonnes,6,Rural à habitat dispersé,318,0.0,0.0,0.0,0.0,0.0,84.42,15.58,Rural
38381,Saint-Didier-de-la-Tour,6,Rural à habitat dispersé,2117,0.0,0.0,0.0,41.02,0.0,56.48,2.5,Rural
38382,Saint-Égrève,1,Grands centres urbains,16995,71.22,0.0,0.0,26.71,0.0,2.07,0.0,Inconnu
38383,Saint-Étienne-de-Crossey,5,Bourgs ruraux,2587,0.0,0.0,0.0,0.0,61.62,35.05,3.33,Rural
38384,Saint-Étienne-de-Saint-Geoirs,5,Bourgs ruraux,3279,0.0,0.0,0.0,0.0,80.3,18.25,1.45,Rural
38386,Saint-Geoire-en-Valdaine,5,Bourgs ruraux,2384,0.0,0.0,0.0,0.0,48.35,45.11,6.54,Rural
38387,Saint-Geoirs,6,Rural à habitat dispersé,496,0.0,0.0,0.0,0.0,37.2,48.08,14.72,Rural
38388,Saint-Georges-de-Commiers,5,Bourgs ruraux,2646,0.0,0.0,0.0,0.0,74.99,23.49,1.52,Rural
38389,Saint-Georges-d'Espéranche,5,Bourgs ruraux,3483,0.0,0.0,0.0,0.0,58.27,29.99,11.74,Rural
38390,Saint-Gervais,5,Bourgs ruraux,530,0.0,0.0,0.0,0.0,50.71,35.56,13.73,Rural
38391,Saint-Guillaume,6,Rural à habitat dispersé,241,0.0,0.0,0.0,0.0,0.0,53.58,46.42,Rural
38392,Saint-Hilaire-de-Brens,6,Rural à habitat dispersé,599,0.0,0.0,0.0,0.0,0.0,90.86,9.14,Rural
38393,Saint-Hilaire-de-la-Côte,6,Rural à habitat dispersé,1595,0.0,0.0,0.0,0.0,0.0,95.3,4.7,Rural
38394,Saint-Hilaire-du-Rosier,6,Rural à habitat dispersé,1865,0.0,0.0,0.0,0.0,0.0,90.17,9.83,Rural
38395,Plateau-des-Petites-Roches,6,Rural à habitat dispersé,2415,0.0,0.0,0.0,18.35,0.0,77.3,4.36,Rural
38396,Saint-Honoré,6,Rural à habitat dispersé,809,0.0,0.0,0.0,0.0,0.0,79.99,20.01,Rural
38397,Saint-Ismier,4,Ceintures urbaines,7048,0.0,0.0,0.0,93.23,0.0,6.73,0.04,Urbain
38398,Saint-Jean-d'Avelanne,6,Rural à habitat dispersé,979,0.0,0.0,29.87,0.0,0.0,69.92,0.2,Rural
38399,Saint-Jean-de-Bournay,5,Bourgs ruraux,4687,0.0,0.0,0.0,0.0,73.42,15.16,11.42,Rural
38400,Saint-Jean-de-Moirans,4,Ceintures urbaines,3582,0.0,3.01,0.0,88.82,0.0,8.18,0.0,Urbain
38401,Saint-Jean-de-Soudain,2,Centres urbains intermédiaires,1655,0.0,38.02,0.0,24.72,0.0,36.35,0.91,Urbain
38402,Saint-Jean-de-Vaulx,6,Rural à habitat dispersé,529,0.0,0.0,0.0,0.0,0.0,95.19,4.81,Rural
38403,Saint-Jean-d'Hérans,7,Rural à habitat très dispersé,299,0.0,0.0,0.0,0.0,0.0,45.86,54.14,Rural
38404,Saint-Jean-le-Vieux,6,Rural à habitat dispersé,284,0.0,0.0,0.0,0.68,0.0,93.87,5.45,Rural
38405,Saint-Joseph-de-Rivière,5,Bourgs ruraux,1245,0.0,0.0,0.0,0.0,52.15,37.9,9.95,Rural
38406,Saint-Julien-de-l'Herms,7,Rural à habitat très dispersé,160,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38407,La Sure en Chartreuse,6,Rural à habitat dispersé,1058,0.0,0.0,0.0,0.0,0.0,77.5,22.5,Rural
38408,Saint-Just-Chaleyssin,6,Rural à habitat dispersé,2676,0.0,0.0,0.0,0.0,47.91,50.03,2.06,Rural
38409,Saint-Just-de-Claix,6,Rural à habitat dispersé,1369,0.0,0.0,0.0,0.0,7.2,83.04,9.77,Rural
38410,Saint-Lattier,6,Rural à habitat dispersé,1442,0.0,0.0,0.0,0.0,12.55,72.75,14.7,Rural
38412,Saint-Laurent-du-Pont,5,Bourgs ruraux,4488,0.0,0.0,0.0,0.0,76.61,21.31,2.08,Rural
38413,Saint-Laurent-en-Beaumont,6,Rural à habitat dispersé,424,0.0,0.0,0.0,0.0,0.0,74.17,25.83,Rural
38414,Sainte-Luce,7,Rural à habitat très dispersé,41,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Rural
38415,Saint-Marcel-Bel-Accueil,6,Rural à habitat dispersé,1455,0.0,0.0,0.0,0.0,0.0,87.09,12.91,Rural
38416,Saint-Marcellin,3,Petites villes,7708,0.0,0.0,94.43,0.0,0.0,4.99,0.58,Mixte
38417,Sainte-Marie-d'Alloix,5,Bourgs ruraux,483,0.0,0.0,0.0,0.0,65.84,34.16,0.0,Rural
38418,Sainte-Marie-du-Mont,6,Rural à habitat dispersé,235,0.0,0.0,0.0,0.0,0.0,63.59,36.41,Rural
38419,Saint-Martin-de-Clelles,6,Rural à habitat dispersé,185,0.0,0.0,0.0,0.0,0.0,68.42,31.58,Rural
