INSEE_COM,Fibre_it,annee
55343,1,2024
52502,1,2024
84098,1,2024
52053,1,2024
01052,0,2024
52393,1,2024
71462,1,2024
52475,1,2024
55560,1,2024
26344,0,2024
21304,1,2024
01272,0,2024
71043,1,2024
55010,1,2024
52367,1,2024
17278,1,2024
17246,1,2024
14242,1,2024
55568,1,2024
55470,1,2024
26148,0,2024
52356,1,2024
52542,1,2024
84035,1,2024
71517,1,2024
38219,1,2024
55115,1,2024
61480,1,2024
55038,1,2024
26068,0,2024
55037,1,2024
21473,1,2024
55487,1,2024
71104,1,2024
84139,1,2024
21106,1,2024
21035,1,2024
08342,1,2024
26346,0,2024
25470,1,2024
32185,1,2024
57189,1,2024
71373,1,2024
25088,1,2024
64286,1,2024
25092,1,2024
01054,0,2024
55015,1,2024
55532,1,2024
38555,0,2024
68029,1,2024
25309,1,2024
55582,1,2024
25525,1,2024
25251,1,2024
84094,1,2024
55068,1,2024
21005,1,2024
33152,1,2024
21333,1,2024
55119,1,2024
52421,1,2024
26207,0,2024
84143,1,2024
84038,0,2024
26051,0,2024
01139,1,2024
21320,1,2024
52282,1,2024
38176,1,2024
38294,1,2024
33520,1,2024
55167,1,2024
84074,0,2024
38473,1,2024
01361,0,2024
69080,1,2024
38093,1,2024
68149,0,2024
52285,1,2024
26043,1,2024
84015,0,2024
01289,1,2024
52200,1,2024
13009,0,2024
55195,1,2024
21330,1,2024
21682,1,2024
52107,1,2024
25327,1,2024
38351,1,2024
26368,0,2024
67444,1,2024
55083,1,2024
52106,1,2024
57051,1,2024
01232,0,2024
01047,1,2024
01451,1,2024
55489,1,2024
55422,1,2024
26299,0,2024
57318,1,2024
55139,0,2024
76416,1,2024
68373,1,2024
08029,1,2024
55178,1,2024
01147,1,2024
26063,1,2024
52523,1,2024
55562,1,2024
21609,1,2024
52062,1,2024
52488,1,2024
21256,1,2024
68025,1,2024
52181,1,2024
52249,1,2024
65458,1,2024
52491,1,2024
26308,0,2024
55510,1,2024
21215,1,2024
68167,1,2024
01151,1,2024
40108,1,2024
24446,1,2024
55505,1,2024
55246,1,2024
38454,1,2024
71300,1,2024
71044,1,2024
14747,1,2024
25030,1,2024
38500,1,2024
55430,1,2024
52187,1,2024
21028,1,2024
69081,1,2024
21581,1,2024
14446,1,2024
69082,1,2024
69083,1,2024
55580,1,2024
38508,1,2024
69084,1,2024
14284,0,2024
52037,1,2024
69085,1,2024
55043,1,2024
13205,1,2024
67420,1,2024
55347,1,2024
25093,1,2024
25232,1,2024
05082,1,2024
26113,1,2024
52374,1,2024
39189,1,2024
55236,1,2024
33310,1,2024
26279,0,2024
55545,1,2024
39090,1,2024
38194,1,2024
68304,1,2024
55197,1,2024
70050,1,2024
38108,1,2024
26047,0,2024
01095,0,2024
52280,1,2024
26309,0,2024
52288,1,2024
57274,1,2024
38345,1,2024
69086,1,2024
39466,1,2024
39501,1,2024
69087,1,2024
69088,1,2024
69089,1,2024
38030,1,2024
55263,1,2024
13113,1,2024
64338,1,2024
39245,1,2024
65457,1,2024
38543,1,2024
38560,1,2024
27313,1,2024
76311,1,2024
68370,1,2024
84002,1,2024
55361,1,2024
22333,0,2024
39296,1,2024
76335,1,2024
38089,1,2024
90063,1,2024
55521,1,2024
01293,1,2024
2B321,1,2024
52301,1,2024
69091,1,2024
61419,1,2024
01267,1,2024
39247,1,2024
39077,1,2024
69092,1,2024
84112,1,2024
39119,1,2024
55055,1,2024
01012,1,2024
13095,1,2024
01063,0,2024
38355,0,2024
55356,1,2024
65321,1,2024
50607,0,2024
39422,1,2024
55579,1,2024
55211,1,2024
02714,1,2024
55219,1,2024
05117,1,2024
67070,1,2024
39059,1,2024
39037,1,2024
70151,1,2024
01190,1,2024
39552,1,2024
13022,1,2024
40124,1,2024
61224,1,2024
55160,1,2024
55172,1,2024
70026,1,2024
38400,1,2024
38222,1,2024
55317,1,2024
04208,1,2024
16200,1,2024
29146,0,2024
39407,1,2024
54514,1,2024
01110,1,2024
39411,1,2024
55515,1,2024
17102,1,2024
39308,1,2024
25152,0,2024
01265,1,2024
70142,1,2024
69093,1,2024
26055,0,2024
55575,1,2024
13087,1,2024
39423,1,2024
01310,1,2024
38113,1,2024
39076,1,2024
52400,1,2024
65443,1,2024
74036,1,2024
01011,1,2024
55473,1,2024
69094,1,2024
70446,1,2024
65285,1,2024
14687,1,2024
38170,1,2024
38243,0,2024
55522,1,2024
35034,0,2024
