INSEE_COM,Fibre_it,annee
69389,1,2020
75119,1,2020
13211,0,2020
75115,1,2020
75109,1,2020
13215,0,2020
75101,1,2020
13204,0,2020
13206,0,2020
69381,1,2020
13205,0,2020
13213,0,2020
69386,1,2020
75114,1,2020
13216,0,2020
69383,1,2020
69382,1,2020
69387,1,2020
13214,0,2020
75111,1,2020
75117,1,2020
13210,1,2020
75120,1,2020
75104,1,2020
13207,0,2020
75102,1,2020
75106,1,2020
13202,0,2020
75105,1,2020
75116,1,2020
75112,1,2020
13208,1,2020
13212,0,2020
69388,1,2020
13201,0,2020
75107,1,2020
75108,1,2020
75110,1,2020
13203,0,2020
69385,1,2020
69384,1,2020
13209,1,2020
75103,1,2020
75113,1,2020
75118,1,2020
50353,0,2020
29083,0,2020
65348,0,2020
74133,0,2020
61096,0,2020
67139,1,2020
30100,0,2020
53080,0,2020
84051,1,2020
21201,1,2020
59422,1,2020
10241,0,2020
03296,0,2020
51249,0,2020
66159,0,2020
59066,1,2020
38217,0,2020
77057,1,2020
58038,0,2020
33142,0,2020
67069,1,2020
72077,1,2020
29172,0,2020
17126,1,2020
33297,0,2020
39329,0,2020
62730,1,2020
59179,1,2020
32166,0,2020
89263,1,2020
88424,0,2020
54028,0,2020
71553,0,2020
57469,1,2020
47319,0,2020
27311,0,2020
59038,1,2020
57474,0,2020
62447,0,2020
25175,0,2020
60111,1,2020
60591,1,2020
59114,1,2020
07201,0,2020
65026,0,2020
92040,1,2020
24297,0,2020
62125,1,2020
68249,0,2020
70020,0,2020
25524,0,2020
60588,1,2020
11427,0,2020
79013,0,2020
26249,0,2020
01262,0,2020
89318,0,2020
50066,0,2020
69042,0,2020
59344,1,2020
71499,0,2020
34072,1,2020
39093,0,2020
68224,1,2020
31074,0,2020
63348,0,2020
35234,0,2020
02042,1,2020
09067,1,2020
2A011,0,2020
62070,1,2020
70154,0,2020
02647,0,2020
15235,1,2020
19046,0,2020
04171,0,2020
54114,0,2020
41205,0,2020
39569,0,2020
28251,0,2020
62613,1,2020
58075,0,2020
33219,0,2020
32294,0,2020
33093,0,2020
76360,0,2020
40192,1,2020
54227,0,2020
51378,1,2020
06120,0,2020
29162,0,2020
55531,1,2020
42301,1,2020
58169,0,2020
65216,0,2020
16042,0,2020
01073,0,2020
42126,1,2020
53103,0,2020
72004,1,2020
88275,0,2020
72327,1,2020
14605,1,2020
26222,0,2020
33382,0,2020
11404,0,2020
31382,0,2020
27364,0,2020
68072,1,2020
57531,1,2020
68138,0,2020
24434,0,2020
52371,1,2020
70430,0,2020
26009,0,2020
91235,1,2020
02375,0,2020
66221,0,2020
27500,0,2020
74158,0,2020
69026,1,2020
41206,0,2020
30255,0,2020
60226,1,2020
61066,0,2020
61142,0,2020
33074,0,2020
63431,0,2020
57119,0,2020
51153,1,2020
67221,1,2020
17021,0,2020
24205,0,2020
70577,0,2020
10093,0,2020
70128,0,2020
57349,1,2020
02342,1,2020
76481,0,2020
73008,1,2020
10128,0,2020
26184,0,2020
49362,0,2020
40068,0,2020
14005,1,2020
60132,1,2020
57136,1,2020
67182,0,2020
2B184,0,2020
17416,0,2020
43077,0,2020
59612,1,2020
91667,1,2020
77336,1,2020
18038,0,2020
02655,0,2020
12162,0,2020
81233,0,2020
64009,0,2020
71344,0,2020
45206,0,2020
48132,0,2020
89212,0,2020
33072,0,2020
23052,0,2020
80288,0,2020
16233,0,2020
55068,0,2020
58101,0,2020
38473,1,2020
19092,0,2020
06104,0,2020
42267,1,2020
33064,0,2020
02588,1,2020
33352,0,2020
36218,0,2020
42329,1,2020
19268,1,2020
28169,0,2020
57490,1,2020
31403,0,2020
57089,1,2020
74265,0,2020
33025,0,2020
61013,0,2020
61046,0,2020
63265,0,2020
57284,1,2020
24433,0,2020
30329,0,2020
21666,0,2020
38116,1,2020
42312,1,2020
16347,0,2020
51354,0,2020
10236,1,2020
57007,1,2020
23011,0,2020
24330,0,2020
48117,0,2020
80621,0,2020
85146,1,2020
40238,0,2020
23067,0,2020
73257,0,2020
83007,0,2020
87135,0,2020
63016,0,2020
67102,1,2020
45315,1,2020
79022,0,2020
57438,1,2020
21559,0,2020
43267,0,2020
21066,0,2020
08412,1,2020
40108,0,2020
39075,0,2020
60051,1,2020
33230,0,2020
45299,0,2020
54252,0,2020
44006,1,2020
55175,0,2020
76381,0,2020
62184,0,2020
64031,0,2020
09320,0,2020
31527,0,2020
17441,0,2020
88201,0,2020
48128,0,2020
22324,0,2020
03249,0,2020
77340,0,2020
63354,1,2020
02726,1,2020
47018,0,2020
21547,0,2020
60017,1,2020
67434,1,2020
62870,0,2020
53177,0,2020
91434,1,2020
78165,1,2020
43240,0,2020
23146,0,2020
57372,0,2020
31477,0,2020
40074,0,2020
45031,0,2020
54432,0,2020
43223,0,2020
71192,0,2020
31538,0,2020
46180,0,2020
64148,0,2020
60032,0,2020
65269,0,2020
87044,0,2020
52129,0,2020
43180,0,2020
68107,1,2020
05167,0,2020
21430,0,2020
42188,1,2020
55544,0,2020
31401,0,2020
21470,1,2020
80405,0,2020
02504,1,2020
43230,0,2020
32016,0,2020
17166,0,2020
03227,0,2020
67113,1,2020
87023,0,2020
14732,0,2020
74096,0,2020
51577,1,2020
22307,0,2020
71341,0,2020
29234,0,2020
27237,0,2020
84134,1,2020
39055,0,2020
31419,0,2020
30193,0,2020
63013,0,2020
80725,1,2020
27012,0,2020
34286,1,2020
61051,0,2020
67125,1,2020
47237,0,2020
56180,0,2020
01425,1,2020
88229,0,2020
37009,1,2020
09128,0,2020
10260,0,2020
21185,0,2020
89424,0,2020
42067,1,2020
60131,1,2020
12076,0,2020
66094,0,2020
46127,1,2020
17465,0,2020
60579,0,2020
25377,0,2020
62365,1,2020
53030,0,2020
37155,0,2020
71253,0,2020
51518,0,2020
41109,0,2020
42176,1,2020
19172,1,2020
02140,0,2020
06067,0,2020
17241,0,2020
60628,1,2020
86300,0,2020
72238,1,2020
26247,0,2020
11020,0,2020
28401,0,2020
02254,1,2020
54444,0,2020
71074,0,2020
42203,1,2020
37207,0,2020
19059,0,2020
33450,0,2020
71488,0,2020
64034,0,2020
33135,0,2020
01267,0,2020
03160,0,2020
42023,1,2020
30174,0,2020
03311,0,2020
61229,0,2020
26028,0,2020
12084,1,2020
34274,0,2020
64440,0,2020
44030,0,2020
06050,0,2020
28182,0,2020
31314,0,2020
57043,1,2020
06010,0,2020
46173,0,2020
10021,1,2020
06044,1,2020
81036,0,2020
70060,0,2020
31242,0,2020
12134,1,2020
88350,0,2020
60665,1,2020
64206,0,2020
03173,0,2020
33544,0,2020
81055,0,2020
86266,0,2020
76531,0,2020
10183,0,2020
17457,0,2020
60416,1,2020
02292,1,2020
33343,0,2020
80388,0,2020
89359,0,2020
02532,1,2020
58227,0,2020
38496,0,2020
56061,0,2020
86211,0,2020
45188,0,2020
70439,0,2020
28400,0,2020
70326,1,2020
33284,0,2020
14288,1,2020
89431,0,2020
82125,0,2020
57178,0,2020
32184,0,2020
70167,0,2020
30126,0,2020
03281,0,2020
60217,1,2020
34113,0,2020
47314,0,2020
57291,1,2020
39425,0,2020
55439,0,2020
80629,0,2020
41039,0,2020
70542,0,2020
63087,0,2020
18078,0,2020
02277,0,2020
51419,0,2020
35291,0,2020
02199,1,2020
31429,0,2020
44101,1,2020
27629,0,2020
40112,0,2020
44157,0,2020
68261,1,2020
58179,0,2020
14407,1,2020
31109,0,2020
2B047,0,2020
60543,1,2020
25191,0,2020
08028,0,2020
81014,0,2020
02719,1,2020
59544,1,2020
57141,1,2020
76335,0,2020
02270,1,2020
17262,0,2020
22020,0,2020
27118,0,2020
62600,1,2020
76708,0,2020
64152,0,2020
45091,0,2020
37058,0,2020
81273,0,2020
46167,0,2020
77527,0,2020
07253,0,2020
38356,0,2020
27337,0,2020
80575,0,2020
40199,0,2020
16336,0,2020
85264,0,2020
45323,0,2020
07148,0,2020
18139,0,2020
34015,0,2020
62581,1,2020
14389,0,2020
30046,0,2020
29049,0,2020
54336,0,2020
68304,0,2020
42215,1,2020
14491,0,2020
77504,0,2020
02232,1,2020
11185,0,2020
02170,1,2020
34331,0,2020
30225,0,2020
19088,0,2020
31542,0,2020
25482,1,2020
88140,1,2020
23096,0,2020
74082,0,2020
01245,0,2020
87160,0,2020
59141,0,2020
55541,0,2020
31490,1,2020
41157,0,2020
18218,0,2020
47217,0,2020
71235,0,2020
65392,0,2020
32053,0,2020
67267,1,2020
63436,0,2020
50398,0,2020
62069,1,2020
55216,0,2020
09295,0,2020
77444,1,2020
89058,0,2020
54312,0,2020
70344,0,2020
17085,0,2020
47199,0,2020
51468,0,2020
61329,0,2020
71066,0,2020
33451,0,2020
44212,0,2020
53174,0,2020
22391,0,2020
