INSEE_COM,annee,nb_chomeurs
50305,2018,30
50311,2018,15
50315,2018,10
50321,2018,25
50335,2018,30
50336,2018,10
50341,2018,140
50347,2018,20
50350,2018,40
50352,2018,25
50357,2018,5
50359,2018,165
50361,2018,10
50362,2018,20
50363,2018,110
50364,2018,55
50370,2018,40
50372,2018,15
50379,2018,10
50382,2018,30
50384,2018,10
50394,2018,175
50397,2018,10
50398,2018,10
50400,2018,210
50402,2018,265
50403,2018,100
50407,2018,50
50409,2018,140
50410,2018,340
50417,2018,125
50422,2018,10
50425,2018,55
50442,2018,20
50444,2018,165
50445,2018,25
50448,2018,35
50454,2018,20
50455,2018,65
50456,2018,25
50457,2018,15
50462,2018,10
50467,2018,20
50473,2018,25
50475,2018,55
50476,2018,10
50478,2018,25
50480,2018,55
50481,2018,55
50483,2018,60
50484,2018,380
50489,2018,20
50491,2018,30
50492,2018,150
50496,2018,25
50499,2018,25
50506,2018,40
50507,2018,20
50509,2018,40
50512,2018,35
50513,2018,15
50514,2018,10
50519,2018,25
50521,2018,10
50522,2018,15
50528,2018,20
50532,2018,285
50536,2018,5
50539,2018,130
50542,2018,25
50548,2018,10
50550,2018,230
50551,2018,150
50552,2018,20
50556,2018,30
50563,2018,20
50571,2018,0
50577,2018,30
50578,2018,5
50579,2018,80
50584,2018,25
50585,2018,95
50587,2018,0
50593,2018,40
50606,2018,30
50612,2018,50
50616,2018,95
50618,2018,10
50624,2018,25
50637,2018,30
51002,2018,70
51005,2018,10
51012,2018,0
51013,2018,5
51018,2018,45
51022,2018,5
51025,2018,65
51029,2018,115
51030,2018,405
51032,2018,35
51034,2018,0
51038,2018,10
51041,2018,5
51042,2018,25
51045,2018,10
51048,2018,10
51051,2018,10
51058,2018,150
51061,2018,5
51062,2018,5
51066,2018,35
51069,2018,10
51070,2018,30
51072,2018,10
51074,2018,95
51077,2018,5
51078,2018,30
51079,2018,40
51084,2018,5
51087,2018,10
51090,2018,30
51091,2018,5
51092,2018,25
51093,2018,20
51094,2018,10
51095,2018,5
51098,2018,5
51105,2018,55
51108,2018,4640
51109,2018,10
51115,2018,35
51116,2018,15
51118,2018,90
51121,2018,15
51126,2018,5
51129,2018,15
51130,2018,10
51136,2018,45
51137,2018,20
51138,2018,0
51139,2018,20
51141,2018,45
51143,2018,5
51144,2018,35
51147,2018,10
51150,2018,5
51151,2018,15
51152,2018,30
51155,2018,40
51157,2018,10
51165,2018,120
51168,2018,10
51170,2018,10
51172,2018,350
51173,2018,5
51175,2018,10
51176,2018,10
51182,2018,5
51183,2018,60
51193,2018,115
51203,2018,10
51206,2018,5
51208,2018,5
51210,2018,110
51212,2018,5
51217,2018,235
51219,2018,10
51227,2018,20
51228,2018,10
51230,2018,2685
51231,2018,25
51234,2018,45
51240,2018,10
51243,2018,35
51250,2018,545
51254,2018,15
51255,2018,0
51258,2018,10
51259,2018,10
51278,2018,20
51280,2018,0
40042,2018,25
40043,2018,70
40044,2018,60
40049,2018,20
40055,2018,80
40057,2018,15
40058,2018,15
40061,2018,70
40063,2018,55
40066,2018,35
40069,2018,30
40071,2018,35
40072,2018,10
40073,2018,5
40080,2018,100
40084,2018,65
40086,2018,30
40088,2018,2640
40089,2018,60
40098,2018,20
40106,2018,20
40113,2018,50
40115,2018,30
40117,2018,195
40118,2018,125
40119,2018,355
40124,2018,15
40125,2018,85
40126,2018,165
40129,2018,90
40130,2018,10
40132,2018,135
40133,2018,625
40134,2018,400
40135,2018,65
40136,2018,10
40139,2018,20
40141,2018,25
40143,2018,15
40145,2018,30
40148,2018,0
40151,2018,35
40158,2018,15
40159,2018,30
40161,2018,5
40164,2018,25
40167,2018,50
40170,2018,10
40171,2018,10
40172,2018,20
40185,2018,25
40186,2018,55
40191,2018,40
40192,2018,2735
40193,2018,5
40198,2018,10
40199,2018,20
40200,2018,75
40201,2018,80
40209,2018,470
40210,2018,80
40217,2018,655
40218,2018,30
40224,2018,380
40228,2018,95
40230,2018,225
40231,2018,95
40234,2018,60
40238,2018,45
40243,2018,285
40244,2018,110
40245,2018,165
40246,2018,125
40247,2018,15
40249,2018,40
40250,2018,45
40253,2018,65
40254,2018,35
