"INSEE_COM","annee","nb_chomeurs"
"01180",2017,35
"01181",2016,60
"01181",2017,60
"01183",2016,60
"01183",2017,60
"01184",2016,65
"01184",2017,60
"01185",2016,235
"01185",2017,255
"01187",2016,55
"01187",2017,60
"01188",2016,35
"01188",2017,25
"01189",2016,65
"01189",2017,70
"01190",2016,5
"01190",2017,5
"01191",2016,10
"01191",2017,10
"01192",2016,155
"01192",2017,160
"01193",2016,20
"01193",2017,15
"01194",2016,410
"01194",2017,450
"01195",2016,95
"01195",2017,105
"01196",2016,45
"01196",2017,60
"01197",2016,15
"01197",2017,20
"01198",2016,15
"01198",2017,20
"01199",2016,165
"01199",2017,175
"01200",2016,15
"01200",2017,15
"01202",2016,595
"01202",2017,570
"01203",2016,70
"01203",2017,75
"01204",2016,35
"01204",2017,50
"01206",2016,5
"01206",2017,10
"01207",2016,10
"01207",2017,10
"01208",2016,5
"01208",2017,5
"01209",2016,45
"01209",2017,55
"01210",2016,20
"01210",2017,20
"01211",2016,80
"01211",2017,80
"01212",2016,50
"01212",2017,50
"01213",2016,100
"01213",2017,110
"01214",2016,10
"01214",2017,10
"01215",2016,5
"01215",2017,5
"01216",2016,45
"01216",2017,50
"01219",2016,10
"01219",2017,10
"01224",2016,220
"01224",2017,230
"01225",2016,15
"01225",2017,15
"01227",2016,45
"01227",2017,45
"01228",2016,30
"01228",2017,30
"01229",2016,60
"01229",2017,60
"01230",2016,20
"01230",2017,20
"01231",2016,85
"01231",2017,90
"01232",2016,115
"01232",2017,100
"01233",2016,5
"01233",2017,5
"01234",2016,5
"01234",2017,10
"01235",2016,75
"01235",2017,70
"01236",2016,60
"01236",2017,55
"01237",2016,120
"01237",2017,130
"01238",2016,125
"01238",2017,125
"01239",2016,35
"01239",2017,35
"01240",2016,45
"01240",2017,35
"01241",2016,70
"01241",2017,75
"01242",2016,15
"01242",2017,15
"01243",2016,60
"01243",2017,55
"01244",2016,605
"01244",2017,620
"01245",2016,60
"01245",2017,55
"01246",2016,155
"01246",2017,150
"01247",2016,30
"01247",2017,40
"01248",2016,110
"01248",2017,110
"01249",2016,665
"01249",2017,665
"01250",2016,90
"01250",2017,90
"01252",2016,40
"01252",2017,35
"01254",2016,105
"01254",2017,105
"01255",2016,35
"01255",2017,45
"01257",2016,15
"01257",2017,15
"01258",2016,75
"01258",2017,70
"01259",2016,35
"01259",2017,30
"01260",2016,10
"01260",2017,20
"01261",2016,35
"01261",2017,25
"01262",2016,550
"01262",2017,565
"01263",2016,190
"01263",2017,180
"01264",2016,60
"01264",2017,60
"01265",2016,340
"01265",2017,325
"01266",2016,155
"01266",2017,165
"01267",2016,55
"01267",2017,45
"01268",2016,15
"01268",2017,25
"01269",2016,350
"01269",2017,325
"01272",2016,75
"01272",2017,85
"01273",2016,130
"01273",2017,125
"01274",2016,70
"01274",2017,60
"01275",2016,115
"01275",2017,125
"01276",2016,85
"01276",2017,95
"01277",2016,5
"01277",2017,5
"01279",2016,5
"01279",2017,5
"01280",2016,10
"01280",2017,10
"01281",2016,210
"01281",2017,230
"01282",2016,5
"01282",2017,10
"01283",2016,2770
"01283",2017,2730
